Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
5376,"Seriously, our sex life… I was thinking, maybe I don’t know, we could try some-some new things.",Ross,neutral,541,11,6,15,"00:14:25,698","00:14:34,205"
5379,Like what?,Carol,positive,541,13,6,15,"00:14:34,373","00:14:38,042"
5392,"Rachel, I made you a cocoa.",Gunther,neutral,542,5,3,21,"00:00:15,306","00:00:17,057"
5394,Are you all right?,Gunther,negative,542,7,3,21,"0:00:22,439","0:00:23,321"
5420,The balloon?,Joey,neutral,545,7,1,9,"00:13:46,909","00:13:50,537"
5493,"Hey, what’d you guys do to get up on there?",Ross,positive,553,6,6,10,"00:08:48,027","00:08:50,362"
5496,Hey! You’re a good dancer!,Janine,positive,553,9,6,10,"0:09:02,625","0:09:05,337"
5504,No-no-no-no-no we came together!,Joey,positive,553,17,6,10,"00:09:21,143","00:09:23,645"
5505,"I don’t see it.  You are dancing with the tall guy over there. Tall guy, raise your hand!",Director,neutral,553,18,6,10,"00:09:24,480","00:09:30,277"
5530,Oh what then? Kick me?,Joey,negative,556,4,8,16,"00:07:42,086","00:07:44,588"
5531,No.,Ross,neutral,556,5,8,16,"00:07:44,922","00:07:46,173"
5534,"Ah, must’ve been fairly obvious since it was the only thing left in your store.",Ross,neutral,557,1,8,21,"00:10:12,195","00:10:16,575"
5541,Chandler!! You have the best taste in men!,Rachel,positive,558,0,4,10,"00:10:43,726","00:10:47,145"
5546,"Ummmmmmmm, no.",Chandler,neutral,558,5,4,10,"00:11:09,960","00:11:12,837"
5557,"All of a sudden, the phone starts to ring.",Chandler,neutral,559,7,1,1,"00:01:38,723","00:01:42,851"
5562,Your favorite!,Monica,positive,560,2,7,16,"00:20:14,421","00:20:16,797"
5571,Oh my god.,Monica,negative,561,3,1,5,"0:18:06,126","0:18:06,968"
5582,Ow!,Joey,negative,561,14,1,5,"0:18:42,211","0:18:43,558"
5595,Are you sure you wanna do this?,Monica,neutral,562,8,5,24,"00:21:09,476","00:21:11,060"
5600,It depends on who asked.,Rachel,neutral,563,1,4,11,"00:21:33,458","00:21:34,709"
5609,He asked you out?!,Monica,positive,564,1,4,15,"00:13:22,092","00:13:23,551"
5613,Electrical plans for the building.,Monica,neutral,564,5,4,15,"0:13:33,398","0:13:36,277"
5628,"All right honey, we'd better go if we wanna catch that movie.",Rachel,neutral,568,1,5,14,"00:09:12,343","00:09:14,761"
5632,"Okay, did you see that?! With the inappropriate and the pinching!!",Chandler,negative,568,5,5,14,"00:09:25,439","00:09:28,316"
5635,"Ohhh, oh my God! Oh my God! She knows about us!",Monica,negative,568,8,5,14,"00:09:34,448","00:09:37,450"
5642,Oh my God!,Elizabeth,negative,569,3,5,11,"00:16:35,786","00:16:37,704"
5654,Careful of the angle.,Joey,neutral,571,7,3,8,"00:20:54,628","00:20:56,212"
5658,"And yet, we’re still poking him.",Monica,negative,571,11,3,8,"00:21:15,983","00:21:18,401"
5669,Are you looking at her?!,Evil Bitch,negative,572,6,8,23,"0:09:28,723","0:09:29,905"
5676,"No-no, I’m…I’m sure no one was looking. Just want some privacy.",Ross,neutral,572,13,8,23,"00:09:49,785","00:09:53,831"
5685,Yep!,Rachel,positive,573,1,6,17,"0:15:41,816","0:15:43,331"
5692,It’s not something you are! It’s something you have!,Ross,negative,573,8,6,17,"00:16:06,632","00:16:09,717"
5709,No-no-no-no-no! You can't!,Chandler,negative,574,14,5,5,"00:20:45,744","00:20:48,287"
5711,"All right! Man, this is unbelievable! I mean, it's",Joey,negative,574,16,5,5,"00:20:57,714","00:21:06,514"
5723,You got a better idea?,Joey,neutral,576,3,2,6,"0:16:02,393","0:16:03,178"
5728,We have to assign heads to something.,Chandler,neutral,576,8,2,6,"00:16:12,221","00:16:14,222"
5740,Who are you?,Mr. Heckles,negative,578,1,3,6,"00:10:15,573","00:10:16,615"
5780,Thanks.,Ross,negative,585,4,3,6,"0:19:56,364","0:19:57,174"
5828,Me too! I’m sorry that guy in the subway licked your neck.,Kyle,negative,590,5,7,5,"00:08:21,542","00:08:28,173"
5843,Mine!,Joey,neutral,591,2,5,7,"00:12:07,268","00:12:08,601"
5849,"All right, hold on!",Joey,neutral,592,4,5,12,"0:11:22,682","0:11:23,308"
5853,He's our friend.,Joey,neutral,592,8,5,12,"0:11:26,852","0:11:27,564"
5863,"Umm, I think you’re really, really great...",Phoebe,positive,593,2,3,13,"00:17:48,233","00:17:49,984"
5868,Is this my fault?,Robert,negative,593,7,3,13,"0:18:00,412","0:18:01,497"
5871,"Hey buddy, this is a family place, put the mouse back in the house.",Gunther,negative,593,10,3,13,"00:18:11,048","00:18:15,802"
5890,Of course! Only an idiot would wear this stuff if you didn’t have the car! Right?,Joey,negative,596,0,6,5,"00:13:35,314","00:13:38,858"
5892,"Yeah, but only a genius would swallow a sonic blaster gun.",Phoebe,neutral,596,2,6,5,"00:13:45,032","00:13:48,243"
5894,"Joey, you know you don’t actually have one.",Monica,neutral,596,4,6,5,"00:13:56,168","00:13:58,461"
5898,"What?! No, you can’t, you can’t leave me here with them! We’re baby-sitting!",Phoebe,negative,596,8,6,5,"00:14:08,973","00:14:12,642"
5922,"I won’t care, because I know you will be feeling it all in here.",Monica,neutral,597,10,6,14,"00:13:31,352","00:13:35,980"
5925,"What, do you think I’d just use my son as-as an excuse?",Ross,positive,598,1,6,6,"00:05:19,319","00:05:21,737"
5926,What kind of father do you think I am?,Ross,negative,598,2,6,6,"00:05:21,904","00:05:24,364"
5936,They love my candy? Oh man!!! I’ve gotta go make more!!,Monica,positive,599,7,7,9,"00:05:00,800","00:05:06,221"
5937,"Hey Mon, you might wanna make some more lasagna too, because something might’ve happened to a huge chunk of it.",Joey,neutral,599,8,7,9,"00:05:06,431","00:05:11,393"
5940,Sure!,Phoebe,neutral,599,11,7,9,"00:05:24,615","00:05:26,408"
5962,Eight whole days.,Ben,neutral,603,1,7,10,"00:20:14,838","00:20:16,797"
5966,My favorite part was when,Chandler,neutral,603,5,7,10,"00:20:23,430","00:20:29,268"
5969,Oh.,Phoebe,neutral,603,8,7,10,"00:20:54,419","00:20:55,795"
5970,Wow! It looks like the Easter Bunny’s funeral in here.,Rachel,positive,603,9,7,10,"00:20:55,963","00:20:58,422"
5972,Oh.,Rachel,neutral,603,11,7,10,"0:21:04,054","0:21:04,513"
5974,"Okay, I understand why",Phoebe,neutral,603,13,7,10,"00:21:09,184","00:21:10,935"
6021,"Oh, she told you about that, huh.",Chandler,negative,607,8,1,3,"00:17:16,035","00:17:18,369"
6028,Yeah.,Rachel,neutral,607,15,1,3,"00:17:53,614","00:17:55,406"
6055,Kinda... spooky without any lights.,Ross,negative,608,5,1,7,"00:21:01,969","00:21:04,971"
6084,Hey!,Joey,positive,612,0,6,20,"0:19:08,939","0:19:11,442"
6088,What?! It’s 6 o’clock!,Joey,negative,612,4,6,20,"00:19:15,279","00:19:19,115"
6109,Rachel didn't you just light that?,Kim,neutral,614,3,5,18,"00:14:41,130","00:14:43,131"
6110,"Yeah, I did, but y'know what? I am really, really trying to cut back, y'know?  Good luck, Rach.",Rachel,neutral,614,4,5,18,"00:14:43,299","00:14:50,197"
6114,Well then let's just quit! We'll just quit! Let's all quit!,Rachel,positive,614,8,5,18,"00:15:00,691","00:15:03,359"
6117,Oh but you could.,Rachel,neutral,614,11,5,18,"0:15:06,572","0:15:07,424"
6120,We can help each other out!,Rachel,positive,614,14,5,18,"0:15:08,032","0:15:09,334"
6121,We can get--what are those--those patches!,Rachel,neutral,614,15,5,18,"0:15:09,334","0:15:11,126"
6126,Okay then!,Rachel,positive,614,20,5,18,"00:15:31,096","00:15:32,597"
6128,"Well, maybe it's a contest, y'know? Like, collect all five?",Chandler,neutral,615,0,1,3,"00:14:12,768","00:14:15,395"
6152,"Joey, that paper’s like a year old!",Monica,neutral,616,1,7,11,"00:05:59,359","00:06:01,818"
6159,"Yeah, I don't like that word.",Phoebe,negative,617,3,7,10,"00:03:20,033","00:03:21,325"
6175,"Well then he gets a divorce, it’s Ross!",Rachel,neutral,619,5,8,24,"00:14:47,458","00:14:50,627"
6180,"And Tim I just wanna say, good luck here.",Phoebe,neutral,620,0,8,5,"00:18:21,350","00:18:25,019"
6184,They’re having their baby!,Rachel,negative,621,3,8,23,"0:08:53,854","0:08:55,773"
6188,"Wow! Sorry. So uh, how are the new people?",Ross,positive,621,7,8,23,"00:09:08,619","00:09:13,040"
6195,"Look at that guy for example, I mean normally that’s not someone I would-would be attracted to, but right now, with the way I’m feeling, all I want to do is rip off his sweatpants and fanny pack.",Rachel,neutral,622,6,8,11,"00:00:20,729","00:00:28,110"
6208,Hey guys!,Ross,positive,623,4,4,22,"0:12:11,564","0:12:12,274"
6234,Maybe I’ll take her to that new French restaurant down the street,Ross,neutral,625,10,7,17,"00:11:34,151","00:11:37,862"
6251,Whoa! Are you okay?,Monica,positive,626,7,3,6,"00:11:15,524","00:11:21,221"
6252,"Whew! Stood up to fast, got a little head rush.",Joey,positive,626,8,3,6,"00:11:21,389","00:11:23,932"
6261,"Ooohh, to a Porsche!",Joey,positive,628,2,6,5,"00:01:44,562","00:01:47,606"
6265,"Hey Gunther, these yours?",Joey,neutral,628,3,6,5,"00:01:47,982","00:01:50,609"
6267,Na-uh!  Hey did anybody lose their keys?,Joey,neutral,628,5,6,5,"00:02:01,746","00:02:03,497"
6279,We have a good time.,Ross,positive,629,2,2,2,"0:07:46,424","0:07:47,453"
6280,"We laugh, we play.",Ross,positive,629,3,2,2,"0:07:47,550","0:07:48,852"
6286,Hello?,Monica,neutral,629,9,2,2,"00:08:14,118","00:08:15,243"
6287,"Oh, Hi, Ju——Hi, Jew!",Monica,neutral,629,10,2,2,"00:08:15,411","00:08:19,998"
6300,"I can smell it a little, bake the pie.",Phoebe,positive,630,5,6,18,"0:11:52,211","0:11:53,963"
6310,Joey proposed to me.,Rachel,positive,631,0,6,1,"00:14:35,499","00:14:37,375"
6313,What?!,Monica,negative,632,2,9,1,"0:14:42,172","0:14:42,554"
6319,It’s… It is bigger than  mine!,Monica,negative,632,8,9,1,"00:14:50,764","00:14:53,182"
6330,Here comes the bride.,Mrs. Geller,positive,633,1,7,24,"00:07:58,102","00:08:00,700"
6354,Me neither! We have to get in!,Monica,negative,635,2,8,3,"00:08:19,207","00:08:21,750"
6356,Oh my God! Oranges!,Monica,positive,635,4,8,3,"0:08:25,130","0:08:26,319"
6358,"Uh sir, may I see your tickets please?",Airline Employee,neutral,635,6,8,3,"00:08:29,091","00:08:34,179"
6377,Oh-oh! So that’s the way it’s gonna be huh? Yeah I can break the rules too y’know!,Joey,negative,637,2,7,17,"00:14:24,238","00:14:27,657"
6379,I don’t know.,Joey,neutral,637,4,7,17,"0:14:28,952","0:14:30,484"
6381,Y’know what Ross? I’m not gonna let you get away with this!,Joey,negative,637,6,7,17,"0:14:31,829","0:14:33,719"
6409,"Phoebs, It's open! It's open!",Ross,positive,639,9,1,23,"00:16:56,557","00:16:58,891"
6423,"Yes, that’s very good. Now a uh, big part of this job is cultivating personal relationships, especially with designers.",Mr. Posner,neutral,640,12,4,9,"00:07:13,182","00:07:22,941"
6438,How did you…know?,Chandler,negative,643,3,7,8,"00:14:38,335","00:14:39,878"
6465,It,Monica,neutral,645,12,8,20,"00:14:33,694","00:14:35,904"
6471,Oh my God! This is it!   I really hope it’s you!,Rachel,positive,646,1,7,6,"00:00:08,717","00:00:12,845"
6477,"Like hypothetically, if Phoebe were mine",Monica,neutral,646,7,7,6,"0:00:29,279","0:00:31,281"
6478,Yes!!! Oh!!,Phoebe,positive,646,8,7,6,"0:00:31,281","0:00:32,672"
6486,"Well that’s the best part. Umm,",Monica,neutral,646,15,7,6,"00:00:50,967","00:00:54,678"
6488,Because then I don’t have to!,Monica,positive,646,17,7,6,"0:00:58,600","0:00:59,904"
6519,I would like to meet him. He sounds like a stand up guy.,Joey,neutral,649,17,8,12,"00:05:19,736","00:05:23,530"
6555,"There's a beautiful woman at eight, nine, ten o'clock!",Chandler,positive,652,5,1,6,"00:02:08,294","00:02:12,172"
6575,"Yeah you will!  And, are you kiddin’ me?!",Monica,negative,654,3,6,17,"00:20:19,885","00:20:23,095"
6587,Wow!,Elizabeth,positive,655,6,6,18,"00:20:40,447","00:20:41,906"
6590,Really?,Ross,positive,655,9,6,18,"00:20:44,034","00:20:49,247"
6593,Stop it!,Elizabeth,positive,655,12,6,18,"00:21:01,260","00:21:05,221"
6597,"Rach, you’re in a great place in your life. Come on, you’ve got a great job! Good friends",Monica,positive,656,0,7,14,"00:02:17,470","00:02:22,099"
6614,"Ooh, is that spelled with a ‘C’ or a ‘K’? Oh my God! It doesn’t matter; they’re both great!",Phoebe,positive,657,15,7,17,"00:04:53,751","00:04:58,672"
6617,Now that you know what you want you should go to Kleinman’s and get it half off.,Rachel,neutral,657,17,7,17,"00:05:02,719","00:05:06,346"
6626,It's the next day!,Chandler,positive,658,6,1,20,"0:01:59,744","0:02:01,037"
6661,Okay.,Paul,neutral,660,0,6,23,"00:04:56,629","00:04:58,505"
6666,And instead my parents got me this little plastic chicken that you hop around on.,Paul,negative,660,4,6,23,"00:05:05,471","00:05:12,311"
6668,That was a pretty tough year.,Paul,negative,660,6,6,23,"00:05:15,273","00:05:17,107"
6691,"Oh, actually I sorta have plans.",Annabelle,neutral,662,3,2,2,"00:07:02,839","00:07:05,257"
6694,"Hey, it's not the first time I lost a girl to a cowboy spraying cologne.  Bijan for men?  Bijan for men?!",Joey,negative,662,6,2,2,"00:07:28,573","00:07:34,411"
6700,"No, you're the best.",Monica,neutral,663,5,5,17,"0:14:25,323","0:14:26,908"
6708,"Hey, no way! Come on, this is you guys, call her and work it out.",Chandler,negative,664,2,3,15,"00:16:45,504","00:16:49,247"
6726,"Okay, well y’know what, don’t worry you guys, ‘cause I’m-I’m gonna do this as many times as it takes to get it right.",Phoebe,neutral,665,11,4,12,"00:06:26,469","00:06:31,348"
6730,"Whoa!! That—okay, that’s a",Phoebe,negative,665,15,4,12,"00:06:45,488","00:06:51,535"
6743,Hey!,Joey,neutral,666,0,5,7,"0:11:00,451","0:11:01,035"
6744,Hey!,Monica,neutral,666,1,5,7,"0:11:01,035","0:11:01,926"
6762,No-no-no! We need something old!,Monica,negative,667,2,5,24,"00:18:00,954","00:18:02,455"
6772,Sorry about that. So. What have you been up to?,Barry,neutral,669,0,1,2,"00:17:27,337","00:17:35,344"
6780,Monica? Monica!,Rachel,negative,670,3,1,21,"00:16:13,347","00:16:14,722"
6804,Wow. What does,Ross,positive,671,10,9,21,"0:16:42,126","0:16:43,348"
6806,"But the guy I said it to dies in the next scene so I    guess it means ""you're gonna get eaten by a bear"".",Joey,neutral,671,12,9,21,"00:16:46,255","00:16:58,182"
6819,"So umm, does it?",Rachel,neutral,672,7,4,1,"00:07:40,376","00:07:44,296"
6827,"Oh, sure! I’m sure.",Ross,positive,672,15,4,1,"0:08:51,072","0:08:52,246"
6847,Ooh!,Ross,negative,673,18,6,2,"00:16:15,474","00:16:16,766"
6858,Bad things happen to me anyway.,Chandler,neutral,674,6,1,18,"0:12:32,419","0:12:34,647"
6859,This way I can break 'em up with a movie.,Chandler,neutral,674,7,1,18,"00:12:35,671","00:12:38,214"
6865,No. No no no no no. That's Rodney McDowell. Andie McDowell is the guy from,Rachel,neutral,675,3,2,1,"00:21:44,428","00:21:55,354"
6875,"And I do, I have to make",Ross,negative,676,7,5,5,"00:10:36,844","00:10:41,389"
6907,"Okay, Chandler!",Rachel,neutral,679,0,6,21,"0:00:02,168","0:00:03,300"
6914,Hey!!,Chandler,positive,679,7,6,21,"0:00:31,796","0:00:32,709"
6930,"Hey! Hey-hey, now this was no one’s fault Pheebs. Okay? It was an accident.",Rachel,neutral,680,6,6,18,"00:09:11,008","00:09:15,679"
6946,"But I'll still always come back, like this.",Ross,neutral,682,1,1,23,"00:20:39,988","00:20:45,576"
6947,"And sometimes I may be away longer, like this.",Ross,neutral,682,2,1,23,"00:20:46,662","00:20:52,375"
6971,Had the money in the wrong hand.,Chandler,neutral,685,1,7,10,"0:05:12,448","0:05:14,695"
6973,I’ll do it.,Rachel,neutral,686,1,7,23,"0:12:39,550","0:12:40,432"
6976,"Nobody wants to do it? All right, I’ll do it myself.",Monica,negative,686,4,7,23,"00:12:42,887","00:12:49,517"
6988,That’ll be all.,Rachel,neutral,687,3,7,9,"0:03:42,310","0:03:42,983"
6991,Did you see that?,Rachel,positive,687,6,7,9,"00:03:49,187","00:03:50,229"
7003,"I know!!   Chip? Hi! It’s Monica.  ‘Kay.  ‘Kay.  Okay.  Okay, good-bye.  Oh my God, we just had",Monica,positive,689,9,4,2,"00:02:03,498","00:02:17,594"
7022,I have actually,Joey,neutral,693,0,4,4,"00:04:38,820","00:04:41,446"
7034,Damn it!,Ben,positive,695,2,7,16,"0:09:20,685","0:09:21,707"
7035,No don’t! Go back to repeating!,Rachel,negative,695,3,7,16,"0:09:21,707","0:09:22,375"
7037,Oh crap!,Rachel,negative,695,5,7,16,"00:09:22,562","00:09:24,187"
7039,"Hey Rach! Hey, you mind if I read my comic books in here?",Joey,neutral,696,0,5,12,"00:16:05,214","00:16:09,050"
7045,That's it!,Rachel,negative,696,6,5,12,"00:16:24,608","00:16:28,653"
7062,What?!,Ross,positive,698,6,3,25,"00:17:07,609","00:17:08,735"
7063,"I just, I feel, I-I just...",Rachel,negative,698,7,3,25,"00:17:09,862","00:17:15,575"
7069,Sells drugs to kids.,Phoebe,negative,699,5,5,24,"0:17:17,786","0:17:18,954"
7072,It was my quarter!,The Lurker,negative,699,8,5,24,"0:17:24,918","0:17:26,520"
7084,No!,Rachel,negative,700,5,6,1,"0:15:23,624","0:15:23,985"
7122,Ohh.,Chandler,neutral,705,4,5,10,"00:02:42,120","00:02:43,162"
7127,I can't,Monica,neutral,706,0,5,13,"00:00:02,460","00:00:07,339"
7129,That was a half an hour?,Monica,positive,706,2,5,13,"0:00:16,933","0:00:18,325"
7134,"It's so good, isn't it?",Monica,neutral,706,7,5,13,"00:00:35,410","00:00:36,952"
7138,Oh whoa-whoa-whoa!,Phoebe,negative,707,0,5,10,"00:16:32,282","00:16:33,324"
7144,What's this?,Phoebe,neutral,707,6,5,10,"0:16:41,041","0:16:43,103"
7150,And you can leave the hurt bunny look over there too!,Phoebe,negative,707,12,5,10,"00:16:54,972","00:16:58,224"
7152,I thought I told you to get outta here!,Phoebe,negative,707,14,5,10,"0:16:59,995","0:17:03,155"
7158,That’s great.,Chandler,positive,711,0,1,20,"00:02:47,363","00:02:48,448"
7173,Look at this!  There we go!,Marc,positive,713,2,8,23,"00:04:26,337","00:04:31,092"
7192,"Wow, oh, it looks like Ross is breaking up with her.",Phoebe,positive,717,4,3,24,"0:17:21,547","0:17:24,387"
7207,"Thanks, I’m set. Do you still live with your parents?",Monica,neutral,718,5,4,2,"00:17:14,324","00:17:15,575"
7215,Yeah!,Woman,positive,719,6,6,5,"00:03:33,171","00:03:35,964"
7220,Hello children!,Chandler,positive,720,3,5,7,"00:09:38,411","00:09:40,328"
7244,Really?!,Chandler,positive,722,7,5,20,"00:15:47,905","00:15:49,989"
7258,Hey-hey Pheebs!,Ross,positive,723,3,6,23,"0:21:38,464","0:21:38,939"
7266,What about Glen? He could be a Glen.,Phoebe,neutral,724,2,1,11,"00:05:49,098","00:05:51,016"
7276,The silk? Feels really good!,Joey,positive,725,6,7,22,"0:16:08,968","0:16:10,917"
7283,"Well, maybe after we get reacquainted uh, you can do me.",Cassie,positive,726,6,7,19,"00:13:18,297","00:13:21,424"
7289,But you-you said black. Why would he want his blue blazer black?,Rachel,neutral,727,4,4,11,"00:02:42,912","00:02:46,623"
7308,"So, you and Angela, huh?",Joey,positive,729,0,1,5,"00:14:06,887","00:14:09,055"
7330,"Ross, thank you. Hey, do you guys wanna go see a movie?",Rachel,neutral,733,3,6,1,"00:20:44,076","00:20:48,621"
7337,I didn’t get the annulment.,Ross,negative,733,10,6,1,"00:21:05,597","00:21:07,723"
7342,"Listen, drama critics they’re nothing but, but people who couldn’t make it as actors. You know what you should do?",Joey,positive,734,2,3,22,"00:09:55,886","00:10:03,226"
7344,"Oh, well I tell Issac everything.",Chloe,neutral,735,1,3,16,"00:08:38,142","00:08:41,895"
7351,"Yeah. Listen, can you keep this information to yourself?",Ross,neutral,735,8,3,16,"00:09:09,465","00:09:13,885"
7354,"Yeah, we are.",Issac,neutral,735,11,3,16,"00:09:24,438","00:09:25,855"
7355,"No, we’re not.",Ross,neutral,735,12,3,16,"00:09:26,524","00:09:28,233"
7364,Oh my God! What are you doing here?,Emily,positive,736,1,4,17,"00:08:51,948","00:08:53,615"
7365,"I just, I had to see you one more time before you took-off.",Ross,positive,736,2,4,17,"00:08:54,951","00:08:57,786"
7387,Yeah?,Ross,neutral,738,1,7,13,"0:01:56,366","0:01:58,548"
7392,What? What happened to the window in the attic?!,Phoebe,negative,738,5,7,13,"00:02:11,256","00:02:14,258"
7394,I can’t believe they-they didn’t even tell us!,Ross,positive,738,7,7,13,"00:02:17,137","00:02:18,929"
7395,I can’t believe I still don’t know what happened to the,Phoebe,negative,738,8,7,13,"00:02:19,097","00:02:22,391"
7450,Do you want a date Saturday?,Shelley,neutral,744,3,1,8,"0:00:28,987","0:00:30,364"
7459,"Well, it's official there are no good movies.",Chandler,negative,745,0,3,4,"00:01:53,780","00:01:56,240"
7475,There’s this kid in my class who said he’s in love with me.,Ross,negative,747,2,7,18,"00:08:03,316","00:08:06,818"
7480,Really?,Rachel,negative,747,7,7,18,"0:08:18,080","0:08:19,540"
7485,Am I giving out some kind of…sexy professor vibe?,Ross,negative,747,12,7,18,"00:08:22,752","00:08:29,341"
7486,Not right now.,Rachel,neutral,747,13,7,18,"00:08:32,261","00:08:33,970"
7501,"Yeah, I understand.",Richard,neutral,750,0,6,25,"00:14:52,683","00:14:54,183"
7504,I’ll be here.,Richard,negative,750,3,6,25,"0:15:02,151","0:15:02,944"
7505,Not smoking.,Richard,negative,750,4,6,25,"0:15:02,944","0:15:04,936"
7506,"We’re really gonna do this, huh?",Ross,positive,751,0,6,15,"00:04:36,025","00:04:37,859"
7515,I’m-I’m Ross by the way.,Ross,neutral,752,8,6,16,"00:05:00,091","00:05:01,717"
7522,"It took me 28 years to find one man that I wanna spend my life with, if I have to wait another 28 years then, I'll be 56 before I can have a baby, and that's just stupid.",Monica,negative,754,0,3,3,"00:11:01,410","00:11:09,167"
7531,What’s a scrud?,Ross,neutral,755,4,3,10,"0:16:52,053","0:16:52,231"
7541,"Yeah, I’ve been thinking a lot about you too.",Monica,neutral,756,4,3,13,"00:11:51,961","00:11:55,130"
7547,I’ll call you back.,Monica,neutral,756,9,3,13,"00:12:17,361","00:12:18,486"
7562,He touched my fanny.,Girl,negative,758,3,3,5,"0:14:47,803","0:14:49,347"
7574,A woman's,Chandler,neutral,759,9,3,4,"0:17:18,120","0:17:19,012"
7590,Happy thoughts!  Happy thoughts!,Phoebe,negative,761,3,2,13,"00:10:51,400","00:10:53,652"
7600,Look at me! I'm Chandler! Could I,Joey,positive,762,2,3,2,"00:17:25,085","00:17:29,797"
7608,"I mean when I was a kid I only played those games because I couldn’t get girls, and now I",Chandler,neutral,763,4,6,3,"00:09:29,610","00:09:35,115"
7627,"You know, it's like the first time I had to make dinner for myself, after Carol left me?",Ross,neutral,767,2,1,5,"00:16:24,566","00:16:32,949"
7648,Rachel?!,Monica,negative,769,2,1,1,"00:03:34,214","00:03:35,297"
7650,"Look, these clowns are trying to take us for a ride and I'm not gonna let 'em!",Monica,negative,770,1,5,5,"00:08:12,033","00:08:15,744"
7668,"Yeah, it kinda makes that-that one night special.  Y’know, technically we still",Chandler,neutral,771,1,5,1,"00:14:56,729","00:15:07,280"
7699,"Umm, I am free tomorrow night.",Rachel,neutral,772,14,6,15,"00:21:11,645","00:21:14,897"
7700,"Yeah, sure, sure I can bring some sandwiches.",Rachel,neutral,772,15,6,15,"00:21:16,525","00:21:19,568"
7712,"Great. Uhh, just tell her her husband stopped by.",Stranger,neutral,774,8,2,4,"00:01:18,328","00:01:21,205"
7718,Yeah. Where were you?,Monica,neutral,776,3,3,22,"0:09:22,027","0:09:22,899"
7720,You were the next caller five hours ago. You must be going crazy.,Monica,positive,776,5,3,22,"00:09:27,400","00:09:31,027"
7739,"Would you mind spending some time on my siadic area, it’s been killing me today.",Rick,negative,778,2,4,4,"00:09:17,807","00:09:21,685"
7740,"You mean the—Okay by siadic, you mean the towel covered portion.",Phoebe,neutral,778,3,4,4,"00:09:23,729","00:09:29,943"
7758,What?,Phoebe,negative,780,5,3,3,"0:02:56,050","0:02:56,482"
7764,"So, Carol and I went behind a couple of those mechanical Dutch children... then they fixed the ride, and we were asked never to return to the Magic Kingdom.",Ross,positive,775,12,1,7,"00:06:21,089","00:06:31,098"
7786,I'm not your brother.,Man,neutral,785,0,9,11,"00:22:50,786","00:22:52,912"
7791,I don’t know! Maybe she’s crazy!,Joey,negative,786,3,9,1,"00:09:16,180","00:09:18,723"
7793,"Uh, don't you mean ""for whom?""",Joey,neutral,787,1,6,7,"00:16:59,309","00:17:02,687"
7798,You're hot.,Joey,neutral,787,6,6,7,"00:17:24,001","00:17:25,501"
7808,"Well, I’m off to bed!",Chandler,neutral,788,4,6,13,"00:21:14,564","00:21:16,190"
7822,"Oh! Hey Rach, listen umm",Joey,neutral,791,2,8,12,"0:02:05,375","0:02:06,877"
7827,"Yeah! Oh, and then afterwards you can take her to the",Rachel,neutral,791,7,8,12,"00:02:17,011","00:02:20,556"
7840,I’ll be fun.,Joey,neutral,791,20,8,12,"0:03:06,936","0:03:07,979"
7842,Hi!,Rachel,positive,792,0,9,19,"0:09:17,724","0:09:18,986"
7848,"Me? Oh, no, I am not an actress.",Rachel,negative,792,6,9,19,"00:09:41,206","00:09:44,668"
7901,"Not a fan, alright .",Chandler,neutral,796,7,9,2,"0:13:55,835","0:13:57,775"
7904,"See, me, I  love Tulsa!",Chandler,positive,796,10,9,2,"0:14:05,010","0:14:06,742"
7911,"Oh what a great picture of your son,  strapping!",Chandler,positive,796,17,9,2,"00:14:25,072","00:14:27,740"
7917,How are you?,Monica,neutral,797,2,1,21,"00:17:42,561","00:17:44,187"
7925,I just can't believe you're in here.,Monica,positive,797,10,1,21,"0:18:22,476","0:18:23,728"
7928,Who's gonna take me to the,Monica,negative,797,13,1,21,"00:18:29,274","00:18:31,526"
7960,"Uh, middle balcony.",Ross,neutral,802,4,8,10,"0:21:36,379","0:21:37,444"
7965,"You’re loyal, you’re honest, and you have integrity!",Monica,positive,803,4,8,6,"00:15:00,608","00:15:04,903"
7968,"Oh! Hey, Mr. Treeger.",Rachel,negative,804,0,4,4,"00:00:43,418","00:00:44,710"
7972,: No! You’re clogging up the chute that I spent a half-hour unclogging!,Mr. Treeger,negative,804,3,4,4,"00:01:15,158","00:01:18,285"
7984,"Yeah-yeah, there it is, just a phone number a really hot girl gave me.",Ross,positive,805,3,4,5,"00:00:18,143","00:00:24,023"
7988,Thank you.,Phoebe,neutral,805,7,4,5,"00:00:56,014","00:00:57,222"
8023,$500 that is a loooot of electricity!,Joey,positive,809,5,6,6,"00:08:26,756","00:08:33,178"
8047,"Umm, listen I am sorry, but I’ll put some out first thing in the morning.",Monica,negative,810,13,7,9,"00:07:09,720","00:07:12,722"
8073,You look amazing. I'm the luckiest man in the world.,Chandler,positive,812,8,5,19,"00:21:39,506","00:21:42,758"
8074,"Ohh, you're about to get a little luckier.",Monica,positive,812,9,5,19,"00:21:42,926","00:21:45,594"
8075,Let me see the earrings.,Chandler,neutral,812,10,5,19,"0:21:45,762","0:21:46,764"
8077,They look great! Does your boyfriend have the best taste or what?,Chandler,positive,812,12,5,19,"00:21:48,682","00:21:52,893"
